WEEK,DOW INDICATOR,DEMAND, TUESDAY BOOKINGS, PICKUP RATIO,DOW INDEX
1,1,1470,1512,0.972222222,0.864772542
1,2,870,864,1.006944444,0.910585242
1,3,986,827,1.192261185,0.972883194
1,4,1247,952,1.30987395,1.012524913
1,5,1109,740,1.498648649,1.067881309
1,6,1197,908,1.318281938,1.122726536
1,7,1500,1311,1.14416476,1.048626266
2,1,1854,2034,0.911504425,0.864772542
2,2,1489,1584,0.940025253,0.910585242
2,3,1792,1682,1.065398335,0.972883194
2,4,1708,1684,1.014251781,1.012524913
2,5,1787,1600,1.116875,1.067881309
2,6,1314,1077,1.22005571,1.122726536
2,7,1136,956,1.188284519,1.048626266
3,1,1537,1455,1.056357388,0.864772542
3,2,1132,1001,1.130869131,0.910585242
3,3,1368,1131,1.209549072,0.972883194
3,4,1488,1151,1.292788879,1.012524913
3,5,1392,942,1.477707006,1.067881309
3,6,1321,884,1.494343891,1.122726536
3,7,1469,1315,1.117110266,1.048626266
4,1,1795,1885,0.952254642,0.864772542
4,2,1780,1963,0.906775344,0.910585242
4,3,1841,2006,0.91774676,0.972883194
4,4,1774,1855,0.956334232,1.012524913
4,5,1835,1962,0.935270133,1.067881309
4,6,1847,2019,0.914809312,1.122726536
4,7,1833,2052,0.893274854,1.048626266
5,1,1847,2018,0.915262636,0.864772542
5,2,1680,1706,0.984759672,0.910585242
5,3,1680,1874,0.896478122,0.972883194
5,4,1798,1827,0.984126984,1.012524913
5,5,1843,1734,1.062860438,1.067881309
5,6,1322,1124,1.176156584,1.122726536
5,7,1022,803,1.272727273,1.048626266
6,1,1298,1356,0.957227139,0.864772542
6,2,956,848,1.127358491,0.910585242
6,3,1236,966,1.279503106,0.972883194
6,4,1306,909,1.436743674,1.012524913
6,5,1176,798,1.473684211,1.067881309
6,6,1134,731,1.55129959,1.122726536
6,7,1164,869,1.339470656,1.048626266
7,1,1486,1372,1.083090379,0.864772542
7,2,870,760,1.144736842,0.910585242
7,3,1392,1144,1.216783217,0.972883194
7,4,1747,1450,1.204827586,1.012524913
7,5,1861,1739,1.070155262,1.067881309
7,6,1797,1491,1.205231388,1.122726536
7,7,1719,1477,1.163845633,1.048626266
8,1,1729,1801,0.96002221,0.864772542
8,2,1251,1096,1.141423358,0.910585242
8,3,1682,1605,1.047975078,0.972883194
8,4,1795,1788,1.003914989,1.012524913
8,5,1814,1836,0.988017429,1.067881309
8,6,1772,1626,1.089790898,1.122726536
8,7,1885,1479,1.274509804,1.048626266
9,1,1924,2105,0.914014252,0.864772542
9,2,1591,1720,0.925,0.910585242
9,3,1727,1554,1.111325611,0.972883194
9,4,1772,1561,1.135169763,1.012524913
9,5,1748,1563,1.118362124,1.067881309
9,6,1748,1594,1.096612296,1.122726536
9,7,1643,1708,0.961943794,1.048626266
10,1,1765,2086,0.84611697,0.864772542
10,2,1748,1816,0.962555066,0.910585242
10,3,1795,1668,1.076139089,0.972883194
10,4,1672,1461,1.144421629,1.012524913
10,5,1345,1027,1.309639727,1.067881309
10,6,1273,1042,1.22168906,1.122726536
10,7,1600,1442,1.109570042,1.048626266
11,1,1773,1941,0.913446677,0.864772542
11,2,1292,1401,0.92219843,0.910585242
11,3,1753,1807,0.970116215,0.972883194
11,4,1805,1681,1.073765616,1.012524913
11,5,1601,1413,1.133050248,1.067881309
11,6,722,599,1.205342237,1.122726536
11,7,889,831,1.069795427,1.048626266
12,1,1058,1123,0.942119323,0.864772542
12,2,887,952,0.931722689,0.910585242
12,3,1676,1750,0.957714286,0.972883194
12,4,1775,1777,0.998874508,1.012524913
12,5,1759,1748,1.006292906,1.067881309
12,6,1093,932,1.172746781,1.122726536
12,7,1217,969,1.255933953,1.048626266
13,1,1542,1562,0.987195903,0.864772542
13,2,988,1004,0.984063745,0.910585242
13,3,1510,1404,1.075498575,0.972883194
13,4,,1657,,
13,5,,1643,,
13,6,,1124,,
13,7,,1074,,
14,1,,1839,,
14,2,,1862,,
14,3,,1886,,
14,4,,1696,,
14,5,,1002,,
14,6,,794,,
14,7,,1106,,
